singer,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Maroon 5,This Summer,0.712,0.868,-4.098,0.038,0.0606,0.0,0.0897,0.758,95.041
Billy Esteban,Sunset in Anatolia,0.746,0.791,-9.508,0.0505,0.0821,0.873,0.372,0.623,104.997
Maroon 5,Feelings,0.693,0.727,-5.364,0.0749,0.00365,0.0,0.0576,0.746,121.937
Post Malone,Love/Hate Letter To Alcohol,0.475,0.569,-7.073,0.0343,0.037,0.00129,0.232,0.0395,108.007
Beyonce,If,0.632,0.518,-6.126,0.0313,0.107,0.0,0.354,0.427,90.007
Sam Smith,Fire On Fire,0.584,0.408,-7.356,0.0461,0.476,0.0,0.18,0.333,115.129
Halsey,Eyes Closed,0.581,0.684,-4.962,0.0429,0.0179,1.93e-05,0.0849,0.0397,129.966
Post Malone,Myself,0.476,0.701,-4.234,0.0349,0.102,0.0,0.242,0.405,163.882
Sam Smith,For the Lover That I lost,0.494,0.291,-8.441,0.0367,0.815,0.0,0.127,0.413,136.99
Mark Eliyahu,Endless,0.605,0.659,-7.56,0.0285,0.313,0.88,0.1,0.466,110.338
Beyonce,Mine,0.557,0.428,-11.306,0.136,0.0673,0.0019,0.144,0.0996,103.009
Beyonce,SUMMER RENAISSANCE,0.674,0.625,-9.593,0.0514,0.0843,0.0015,0.11,0.208,120.004
Billy Esteban,Arabian Eyes,0.68,0.773,-7.279,0.0369,0.102,0.933,0.11,0.681,107.004
Rihanna,Pon De Replay,0.779,0.64,-8.415,0.159,0.000155,0.00077,0.101,0.498,99.019
Halsey,Walls Could Talk,0.626,0.423,-6.035,0.0513,0.128,0.0,0.18,0.571,95.162
Sam Smith,Latch,0.372,0.247,-8.706,0.0273,0.981,0.000223,0.11,0.239,96.17
Katy Perry,E.T.,0.602,0.863,-5.423,0.0773,0.0178,0.0,0.389,0.732,150.183
Maroon 5,Just A Feeling,0.603,0.618,-5.098,0.0284,0.147,0.0,0.105,0.295,149.955
Sam Smith,Him,0.575,0.248,-11.115,0.0299,0.587,5.39e-05,0.24,0.328,85.05
Dua Lipa,Begging,0.683,0.794,-4.558,0.0533,0.024,0.0,0.302,0.327,105.941
Post Malone,Blame It On Me,0.652,0.591,-7.274,0.0418,0.145,5.65e-06,0.164,0.274,121.873
Alan Walker,Catch Me If You Can,0.688,0.732,-4.78,0.035,0.00257,0.000155,0.255,0.44,147.06
Beyonce,Baby Boy,0.655,0.488,-9.17,0.22,0.0825,1.16e-06,0.221,0.791,91.025
Post Malone,I Know,0.666,0.603,-5.671,0.0763,0.497,0.0,0.112,0.262,102.94
Nuri Serinlendirici,Pismanim,0.599,0.813,-5.65,0.0327,0.2,0.0,0.161,0.627,101.949
Mustafa Ceceli,Sevgilim,0.608,0.55,-7.004,0.0327,0.662,0.0,0.0726,0.388,113.037
Ayaz Babayev,Uzaq Ol Ondan,0.66,0.654,-7.671,0.0443,0.787,4.83e-06,0.17,0.433,139.974
Post Malone,A Thousand Bad Times,0.632,0.732,-3.498,0.092,0.105,1.15e-05,0.111,0.317,159.0
Billie Eilish,you should see me in a crown,0.678,0.533,-10.485,0.186,0.462,0.219,0.139,0.323,150.455
Ava Max,Born to the Night,0.59,0.698,-5.891,0.0372,0.0352,0.0,0.233,0.406,139.985
Dua Lipa,Room for 2,0.536,0.488,-5.752,0.0354,0.396,1.44e-05,0.133,0.382,75.761
Jacob's Piano,Arrival of the Birds,0.2,0.2,-17.189,0.0397,0.901,0.825,0.0898,0.102,126.226
Nuri Serinlendirici,Heyatima Xos Geldin,0.742,0.894,-5.237,0.0636,0.184,0.000708,0.43,0.924,128.072
Mark Eliyahu,Sands,0.623,0.885,-4.244,0.0465,0.392,0.397,0.438,0.819,116.005
Rihanna,Needed Me,0.671,0.314,-8.091,0.244,0.11,0.0,0.0825,0.296,110.898
Beyonce,Freedom,0.437,0.803,-6.412,0.305,0.0376,0.0,0.683,0.406,84.378
Billie Eilish,Oxytocin,0.757,0.598,-7.777,0.058,0.0904,0.551,0.15,0.18,124.951
Beyonce,Freakum Dress,0.683,0.703,-5.154,0.0585,0.0043,1.49e-05,0.0599,0.378,98.953
Rihanna,Mad House,0.306,0.591,-7.692,0.0578,0.000938,0.000175,0.163,0.293,70.159
Jacob's Piano,Remember You,0.255,0.0184,-26.434,0.0494,0.99,0.906,0.0999,0.0829,66.553
Alan Walker,Lost Control,0.736,0.555,-4.689,0.0757,0.0345,0.000157,0.0798,0.323,91.997
Rihanna,SOS,0.677,0.671,-4.905,0.0361,0.004,5.07e-05,0.413,0.527,137.046
Billy Esteban,Forest,0.483,0.716,-9.455,0.0375,0.448,0.927,0.128,0.621,99.997
Post Malone,Feel,0.412,0.227,-12.696,0.0359,0.787,4.69e-06,0.282,0.226,80.111
Jacob's Piano,Le Onde,0.336,0.134,-21.744,0.0454,0.979,0.894,0.0976,0.0774,130.812
Jacob's Piano,Darling,0.432,0.0363,-25.372,0.0474,0.991,0.938,0.111,0.192,134.517
Rihanna,Roc Me Out,0.565,0.826,-4.808,0.0773,0.00503,0.00011,0.0757,0.377,174.058
Katy Perry,Teary Eyes,0.616,0.659,-5.994,0.0404,0.104,0.0,0.079,0.441,125.962
Rauf & Faik,LUV,0.573,0.807,-5.872,0.034,0.00266,0.000319,0.124,0.37,156.0
Katy Perry,It Takes Two,0.724,0.673,-4.348,0.0335,0.0951,0.0,0.0844,0.509,95.98
Maroon 5,Echo,0.759,0.67,-5.309,0.0509,0.0204,0.0,0.0953,0.741,136.027
Evgeny Grinko,Petrel Bird,0.269,0.252,-14.905,0.0371,0.27,0.861,0.134,0.0398,129.748
Billie Eilish,Getting Older,0.599,0.128,-17.261,0.109,0.974,0.121,0.115,0.367,159.679
Halsey,Graveyard,0.667,0.583,-5.127,0.0747,0.231,4.48e-05,0.181,0.187,92.043
Sam Smith,Money On My Mind,0.688,0.841,-5.217,0.179,0.204,0.000295,0.229,0.743,133.912
Beyonce,Drunk in Love,0.583,0.621,-6.902,0.0479,0.00972,0.00106,0.181,0.399,140.036
Billy Esteban,Ozora,0.696,0.859,-7.806,0.0452,0.27,0.76,0.123,0.568,120.003
Alan Walker,Blue,0.492,0.848,-6.718,0.0594,0.00318,0.000139,0.0665,0.49,180.015
Katy Perry,Never Really Over,0.77,0.882,-4.792,0.0602,0.194,0.0,0.316,0.385,99.991
Mark Eliyahu,Tribe,0.441,0.718,-5.81,0.0424,0.668,0.38,0.543,0.65,106.716
Beyonce,Be With You,0.711,0.454,-6.485,0.0904,0.125,2.15e-06,0.071,0.782,74.928
Rihanna,Work,0.725,0.534,-6.238,0.0946,0.0752,0.0,0.0919,0.558,91.974
Katy Perry,Spiritual,0.624,0.748,-5.117,0.029,0.0635,2.28e-06,0.104,0.435,104.992
Billie Eilish,Bored,0.614,0.318,-12.695,0.0478,0.896,0.00239,0.0795,0.112,119.959
Sam Smith,"Baby, You Make Me Crazy",0.513,0.648,-7.714,0.0994,0.00739,4.87e-05,0.176,0.497,169.743
Alan Walker,The Drum,0.783,0.762,-4.727,0.0507,0.158,6.56e-05,0.092,0.33,127.993
Billy Esteban,Secret Stories,0.7,0.842,-8.481,0.0335,0.467,0.866,0.375,0.707,123.978
Jacob's Piano,Remembrance,0.278,0.365,-15.955,0.042,0.986,0.944,0.103,0.0394,117.971
Jacob's Piano,Divenire,0.173,0.3,-13.398,0.0435,0.95,0.833,0.143,0.0676,167.56
Ava Max,Born To The Night,0.59,0.698,-5.891,0.0372,0.0352,0.0,0.233,0.406,139.985
Maroon 5,Love Somebody,0.675,0.792,-6.303,0.0368,0.145,0.0,0.12,0.395,120.016
Rauf & Faik,ALONE AGAIN,0.697,0.621,-8.815,0.0317,0.205,0.186,0.139,0.144,129.995
Sam Smith,Life Support,0.456,0.473,-7.561,0.0352,0.493,0.000338,0.136,0.216,119.886
Billy Esteban,Aliman,0.506,0.557,-7.958,0.0294,0.23,0.193,0.234,0.204,118.051
Jacob's Piano,Ballade Pour Adeline,0.322,0.203,-16.609,0.0329,0.949,0.945,0.112,0.134,134.652
Rihanna,Cockiness,0.673,0.774,-7.097,0.0572,0.00117,0.000581,0.148,0.261,124.999
Evgeny Grinko,Winter Sunshine,0.254,0.07,-24.289,0.042,0.995,0.929,0.0946,0.0768,93.44
Katy Perry,Fingerprints,0.544,0.897,-2.927,0.0614,0.00225,0.0,0.169,0.571,149.96
Sam Smith,Lay Me Down,0.468,0.19,-11.138,0.0373,0.919,0.0,0.107,0.326,125.319
Halsey,Sorry,0.513,0.25,-9.376,0.0367,0.913,0.0,0.117,0.351,74.103
Alan Walker,Alone,0.673,0.914,-3.962,0.0496,0.229,0.000478,0.186,0.183,97.021
Billy Esteban,Sevda,0.639,0.714,-8.368,0.0592,0.344,0.904,0.117,0.622,151.988
Alan Walker,Diamond Heart,0.478,0.633,-6.19,0.0345,0.123,0.0,0.41,0.287,89.909
Evgeny Grinko,Wake Up,0.44,0.00451,-28.148,0.0504,0.995,0.946,0.0904,0.0376,60.656
Charlie Puth,Attention,0.775,0.613,-4.586,0.0542,0.109,2.33e-05,0.134,0.797,100.066
Post Malone,Enemies,0.542,0.674,-4.169,0.21,0.0588,0.0,0.0955,0.667,76.388
Halsey,Control,0.549,0.675,-5.637,0.0332,0.399,0.0,0.181,0.206,119.898
Beyonce,THIQUE,0.823,0.536,-10.123,0.319,0.0616,0.0143,0.326,0.537,128.955
Beyonce,Say My Name,0.491,0.666,-7.338,0.111,0.028,0.0,0.503,0.303,138.672
Alan Walker,Paradise,0.779,0.58,-6.168,0.0355,0.158,0.0,0.124,0.679,148.916
Ava Max,Get Outta My Heart,0.654,0.756,-4.156,0.0685,0.0166,4.4e-05,0.0709,0.376,127.933
Billy Esteban,Andalusian Woman,0.819,0.691,-8.103,0.0362,0.655,0.953,0.0902,0.886,121.976
Maroon 5,Last Chance,0.789,0.773,-5.149,0.032,0.0471,0.0,0.195,0.955,129.043
Jacob's Piano,Goodbye,0.349,0.123,-16.268,0.0385,0.968,0.158,0.712,0.0883,129.292
Billie Eilish,my strange addiction,0.939,0.305,-10.952,0.354,0.35,0.000169,0.105,0.563,100.029
Post Malone,Better Now,0.68,0.578,-5.804,0.04,0.331,0.0,0.135,0.341,145.038
Hauser,Historia de un Amor,0.273,0.46,-10.327,0.0362,0.639,0.974,0.157,0.224,82.986
Mark Eliyahu,Flood Dance,0.561,0.544,-6.329,0.0299,0.651,0.896,0.132,0.644,119.321
Halsey,Alone,0.602,0.724,-3.469,0.0352,0.0184,0.0,0.606,0.451,100.064
Jacob's Piano,Night,0.413,0.0469,-23.991,0.0322,0.978,0.966,0.107,0.14,75.981
Sam Smith,Time After Time,0.595,0.459,-9.413,0.0461,0.571,0.000165,0.101,0.272,129.661
Beyonce,Flaws and All,0.664,0.701,-7.718,0.0967,0.234,0.00117,0.0646,0.625,151.947
Alan Walker,Interlude,0.347,0.306,-19.755,0.038,0.761,0.967,0.166,0.0862,179.792
Billy Esteban,Caravan Tribe,0.756,0.893,-7.115,0.0709,0.0245,0.928,0.0991,0.858,125.004
Beyonce,So Much Damn Swag,0.535,0.338,-27.432,0.883,0.994,0.011,0.891,0.547,67.709
Jacob's Piano,New Era,0.271,0.373,-20.453,0.0468,0.957,0.939,0.155,0.204,158.591
Post Malone,One Right Now,0.687,0.781,-4.806,0.053,0.0361,0.0,0.0755,0.688,97.014
Post Malone,Go Flex,0.665,0.498,-8.185,0.0832,0.228,0.0,0.0757,0.127,81.967
Beyonce,BIGGER,0.484,0.363,-8.094,0.0368,0.645,0.0,0.125,0.201,127.822
Billie Eilish,bellyache,0.695,0.573,-8.597,0.106,0.46,0.0734,0.482,0.408,99.939
Mark Eliyahu,Hope,0.653,0.349,-8.917,0.0344,0.975,0.896,0.111,0.411,124.01
Maroon 5,Better That We Break,0.52,0.613,-3.238,0.0268,0.314,0.0,0.13,0.383,79.914
Alan Walker,Time,0.568,0.893,-10.452,0.05,0.137,0.86,0.0629,0.0377,127.964
Billy Esteban,Moment of Peace,0.229,0.167,-15.365,0.0418,0.989,0.888,0.123,0.0613,111.551
Katy Perry,The One That Got Away,0.691,0.795,-4.021,0.0355,0.000812,1.02e-06,0.156,0.876,133.971
Rihanna,Crazy Little Thing Called Love,0.758,0.557,-6.223,0.112,0.0152,1.43e-06,0.108,0.751,79.98
Billy Esteban,Dance With Me,0.748,0.794,-8.129,0.048,0.0177,0.854,0.439,0.934,123.0
Halsey,clementine,0.533,0.437,-7.659,0.162,0.885,0.0,0.106,0.48,143.263
Maroon 5,Best 4 U,0.526,0.608,-5.776,0.169,0.127,0.0,0.113,0.372,93.311
Jacob's Piano,River Flows in You,0.317,0.298,-18.45,0.0457,0.957,0.945,0.115,0.0965,129.55
Mark Eliyahu,Roads,0.598,0.805,-4.228,0.03,0.0889,0.244,0.262,0.482,100.334
Beyonce,BREAK MY SOUL,0.693,0.887,-5.039,0.0795,0.0581,2.71e-06,0.27,0.864,114.942
Halsey,Heaven In Hiding,0.55,0.874,-3.954,0.136,0.0957,0.0,0.0618,0.476,117.926
Rihanna,Take A Bow,0.697,0.467,-7.536,0.0715,0.248,0.0,0.0941,0.572,82.082
Halsey,I HATE EVERYBODY,0.679,0.197,-7.078,0.0331,0.137,0.0,0.0887,0.559,79.504
Billy Esteban,Good Morning Istanbul,0.299,0.396,-8.579,0.0344,0.917,0.858,0.855,0.0597,51.807
Maroon 5,The Man Who Never Lied,0.627,0.848,-5.989,0.0351,0.000388,0.0,0.0716,0.848,139.954
Rihanna,Final Goodbye,0.512,0.463,-7.819,0.0285,0.0396,0.0,0.305,0.24,134.011
Billy Esteban,Sevdelinke,0.744,0.842,-6.645,0.0427,0.00306,0.677,0.373,0.509,123.017
Rihanna,Fading,0.697,0.742,-5.185,0.149,0.0481,3.08e-06,0.0887,0.355,88.41
Billie Eilish,xanny,0.521,0.125,-17.832,0.239,0.751,0.00207,0.265,0.0528,111.554
Alan Walker,Lily,0.423,0.634,-5.877,0.0578,0.196,0.0,0.189,0.467,150.978
Katy Perry,Mannequin,0.571,0.836,-4.507,0.0811,0.0193,0.0,0.46,0.628,138.947
Beyonce,Heaven,0.346,0.188,-12.688,0.0327,0.573,0.0166,0.108,0.0388,103.265
Halsey,Devil In Me,0.581,0.71,-5.245,0.0348,0.0634,0.0,0.0732,0.188,106.04
Ava Max,Million Dollar Baby,0.667,0.858,-2.268,0.0926,0.0367,1.47e-05,0.325,0.641,133.039
Dua Lipa,Last Dance,0.589,0.578,-5.626,0.0454,0.0232,0.0,0.0984,0.38,135.77
Billy Esteban,Secret Mountain,0.201,0.196,-15.942,0.0438,0.995,0.896,0.0942,0.0382,140.779
Evgeny Grinko,Things From The Past,0.224,0.188,-15.901,0.0369,0.908,0.654,0.0928,0.0844,134.737
Beyonce,Dance for You,0.621,0.781,-6.062,0.0636,0.0321,0.0,0.173,0.484,110.002
Halsey,Haunting,0.461,0.696,-5.752,0.0486,0.015,0.000491,0.21,0.311,180.006
Billy Esteban,Souvenir from Sea,0.759,0.826,-6.922,0.09,0.038,0.948,0.134,0.824,123.03
Evgeny Grinko,Short Memory,0.145,0.118,-14.684,0.0331,0.948,0.749,0.0926,0.0429,81.372
Rihanna,Talk That Talk,0.694,0.671,-4.088,0.0444,0.0371,3.14e-05,0.236,0.466,83.999
Billy Esteban,Gipsy Spring,0.61,0.746,-8.907,0.032,0.000849,0.832,0.321,0.333,118.99
Maroon 5,Shiver,0.625,0.925,-4.435,0.342,0.0421,0.0,0.865,0.515,172.017
Katy Perry,Roulette,0.639,0.644,-4.5,0.0319,0.0133,1.37e-05,0.119,0.413,112.038
Mark Eliyahu,Impro Esfahan,0.46,0.25,-11.181,0.0825,0.988,0.0775,0.102,0.258,116.659
Beyonce,I Been On,0.555,0.676,-11.151,0.0763,0.018,0.0463,0.721,0.14,95.174
Maroon 5,Sunday Morning,0.608,0.768,-5.227,0.0475,0.0913,0.0,0.0629,0.809,88.059
Maroon 5,Hands All Over,0.651,0.791,-4.703,0.0398,0.00904,0.0,0.104,0.725,86.453
Rihanna,Hate That I Love You,0.637,0.73,-5.38,0.0874,0.323,0.0,0.0982,0.732,93.867
Billy Esteban,Dubai Night,0.79,0.751,-7.982,0.0573,0.0112,0.817,0.0733,0.501,120.023
Alan Walker,Ritual,0.607,0.816,-4.853,0.0448,0.00157,0.000571,0.0969,0.315,125.936
Mustafa Ceceli,Topla,0.737,0.76,-5.409,0.0326,0.548,0.0,0.231,0.822,119.992
Billy Esteban,Alchemy,0.661,0.708,-7.408,0.0321,0.0146,0.824,0.134,0.421,120.006
Jacob's Piano,Penn ar Lann,0.282,0.0803,-24.996,0.0403,0.986,0.935,0.0955,0.0384,81.665
Katy Perry,What Makes A Woman,0.363,0.594,-7.847,0.079,0.184,0.0,0.106,0.257,94.639
Jacob's Piano,Horizon,0.188,0.0802,-24.751,0.0343,0.883,0.873,0.117,0.0929,59.052
Katy Perry,International Smile,0.514,0.817,-4.269,0.0482,0.0278,0.0,0.137,0.548,129.98
Katy Perry,Harleys in Hawaii,0.661,0.795,-5.513,0.154,0.144,0.0,0.276,0.472,128.075
Mark Eliyahu,Emotional Teheran,0.49,0.231,-13.427,0.0355,0.712,0.928,0.1,0.0289,123.921
Gazapizm,Pusula,0.665,0.869,-4.331,0.275,0.013,0.0,0.14,0.263,129.934
Beyonce,Blue,0.499,0.434,-10.14,0.0608,0.541,6.58e-05,0.119,0.0643,90.322
Maroon 5,What Lovers Do,0.799,0.597,-5.131,0.0611,0.0788,5.66e-06,0.1,0.419,110.001
Gazapizm,Memleketsiz,0.398,0.788,-6.747,0.194,0.0257,7.3e-05,0.12,0.719,85.484
Dua Lipa,Kiss and Make Up,0.678,0.729,-4.188,0.137,0.0658,0.0,0.303,0.643,99.895
Dua Lipa,That Kind Of Woman,0.64,0.665,-4.966,0.0325,0.0045,0.0,0.22,0.42,113.213
Mark Eliyahu,Makot,0.254,0.269,-17.919,0.0396,0.0538,0.821,0.356,0.0334,149.656
Mustafa Ceceli,Hata,0.721,0.673,-9.739,0.237,0.0223,0.00178,0.369,0.62,126.008
Ava Max,Diamonds & Dancefloors,0.669,0.804,-4.784,0.0342,0.0163,5.88e-06,0.0765,0.391,120.984
Katy Perry,One Of The Boys,0.564,0.909,-2.392,0.052,0.00199,1.89e-06,0.0818,0.683,145.953
Jacob's Piano,Giorni Dispari,0.325,0.18,-21.084,0.0488,0.98,0.937,0.116,0.039,117.83
Rauf & Faik,Ramadan,0.413,0.397,-9.374,0.0341,0.78,0.126,0.154,0.0868,76.866
Jacob's Piano,Thoughts,0.361,0.0284,-25.029,0.0361,0.992,0.93,0.0846,0.0382,61.68
Evgeny Grinko,Sunset,0.209,0.1,-21.228,0.0611,0.995,0.963,0.112,0.94,198.596
Billy Esteban,Buddha,0.628,0.646,-10.52,0.0306,0.338,0.93,0.0923,0.409,89.98
Beyonce,Get Me Bodied,0.865,0.829,-6.981,0.315,0.0673,0.0,0.253,0.651,96.511
Post Malone,Sugar Wraith,0.606,0.775,-4.269,0.0671,0.262,0.0,0.1,0.307,164.02
Maroon 5,Woman,0.774,0.604,-9.445,0.131,0.227,0.00268,0.0646,0.78,173.998
Mark Eliyahu,About Love,0.574,0.394,-9.996,0.0373,0.922,0.00298,0.189,0.522,137.777
Halsey,Darling,0.538,0.284,-9.681,0.0314,0.845,0.0,0.211,0.581,86.973
Alan Walker,Faded,0.468,0.627,-5.085,0.0476,0.0281,7.97e-06,0.11,0.159,179.642
Halsey,Coming Down,0.625,0.753,-5.983,0.166,0.436,0.00273,0.367,0.539,88.956
Rihanna,Goodnight Gotham,0.418,0.672,-5.989,0.0429,0.00686,2.14e-06,0.277,0.353,82.134
Post Malone,Ball For Me,0.797,0.55,-4.166,0.24,0.513,0.0,0.0786,0.543,134.206
Beyonce,Beautiful Liar,0.764,0.751,-3.74,0.0703,0.00554,0.000237,0.164,0.418,91.977
Billie Eilish,hostage,0.427,0.123,-15.228,0.0497,0.868,3.12e-05,0.0732,0.0394,129.565
Mark Eliyahu,Tinnitus,0.577,0.564,-11.659,0.0327,0.155,0.733,0.128,0.0645,102.97
Hauser,Swan Lake,0.22,0.36,-9.293,0.0355,0.965,0.816,0.122,0.0881,83.056
Post Malone,I Like You,0.733,0.67,-6.009,0.0751,0.121,0.0,0.121,0.472,100.964
Maroon 5,Maps,0.742,0.713,-5.522,0.0303,0.0205,0.0,0.059,0.879,120.032
Mark Eliyahu,The Northern Star,0.469,0.397,-9.594,0.0782,0.806,0.00336,0.117,0.183,130.954
Beyonce,Listen,0.432,0.637,-3.905,0.0475,0.416,0.0,0.113,0.187,122.394
Post Malone,Big Lie,0.442,0.684,-4.888,0.168,0.191,0.0,0.0725,0.218,170.861
Billie Eilish,COPYCAT,0.679,0.388,-10.977,0.0932,0.353,9.25e-05,0.341,0.234,124.909
Dua Lipa,Love Again,0.659,0.667,-4.668,0.0339,0.00173,2.85e-05,0.1,0.468,115.982
Jacob's Piano,Wandering,0.465,0.255,-17.96,0.0444,0.994,0.961,0.102,0.123,120.084
Ava Max,Tattoo,0.64,0.637,-5.228,0.0322,0.129,0.0,0.109,0.793,114.994
Post Malone,Staring At The Sun,0.724,0.772,-4.389,0.184,0.25,0.0,0.308,0.347,95.074
Maroon 5,Sugar,0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076
Charlie Puth,Dangerously,0.696,0.517,-8.379,0.0366,0.364,0.0,0.197,0.23,112.291
Ava Max,H.E.A.V.E.N,0.592,0.643,-6.928,0.0505,0.296,0.0801,0.186,0.621,119.971
Rihanna,Wait Your Turn,0.415,0.704,-4.883,0.0604,0.0777,0.0,0.36,0.451,139.822
Katy Perry,Not the End of the World,0.508,0.738,-5.126,0.0579,0.119,0.0,0.0558,0.523,158.131
Jacob's Piano,On the Nature of Daylight,0.292,0.135,-18.678,0.0481,0.977,0.919,0.105,0.0501,65.448
Jacob's Piano,Light of the Seven,0.279,0.05,-22.817,0.0464,0.98,0.941,0.109,0.083,116.391
Mark Eliyahu,Drops,0.398,0.35,-6.353,0.0328,0.872,0.816,0.166,0.126,112.596
Billy Esteban,Rosa Rosi,0.489,0.695,-7.371,0.0287,0.0134,0.811,0.0738,0.156,143.93
Mark Eliyahu,Through Me,0.381,0.36,-6.459,0.035,0.939,0.878,0.127,0.305,135.018
Post Malone,"Yours Truly, Austin Post",0.649,0.618,-5.694,0.0672,0.483,2.53e-06,0.166,0.421,125.977
Sam Smith,One Day At A Time,0.502,0.32,-7.95,0.0342,0.775,0.0,0.113,0.337,129.356
Rihanna,Get It Over With,0.419,0.465,-6.756,0.0312,0.744,0.0,0.102,0.251,79.75
Sam Smith,Kids Again,0.666,0.726,-2.998,0.0262,0.486,0.0,0.0892,0.468,128.044
Beyonce,Welcome,0.6,0.831,-12.294,0.378,0.143,0.576,0.7,0.123,170.133
Jacob's Piano,Oltremare,0.312,0.194,-21.268,0.0449,0.966,0.925,0.0657,0.0489,129.263
Maroon 5,Makes Me Wonder,0.803,0.851,-2.429,0.0357,0.00485,0.000358,0.0577,0.881,113.996
Post Malone,Cold,0.67,0.572,-7.312,0.0415,0.647,4.72e-06,0.104,0.259,132.98
Jacob's Piano,Her,0.424,0.151,-22.12,0.0486,0.988,0.889,0.091,0.408,124.059
Billy Esteban,Casablanca,0.796,0.787,-7.589,0.0462,0.167,0.797,0.127,0.631,115.971
Beyonce,Top Off,0.599,0.692,-9.48,0.224,0.0298,0.0,0.69,0.537,129.816
Post Malone,Deja Vu,0.62,0.69,-6.508,0.0493,0.0931,0.0,0.131,0.331,133.935
Billie Eilish,Therefore I Am,0.889,0.34,-7.773,0.0697,0.218,0.13,0.055,0.716,94.009
Billie Eilish,No Time To Die,0.38,0.219,-13.273,0.0358,0.917,0.0104,0.0827,0.0517,73.537
Evgeny Grinko,Other Child Room,0.702,0.0756,-21.106,0.0658,0.991,0.879,0.0911,0.42,160.053
Jacob's Piano,Fly,0.0474,0.233,-20.129,0.0397,0.962,0.916,0.094,0.147,168.066
Beyonce,ALREADY,0.647,0.732,-5.846,0.0891,0.0846,0.0,0.597,0.548,67.295
Beyonce,Mi Gente,0.667,0.741,-10.832,0.0547,0.00232,1.49e-06,0.426,0.637,104.841
Dua Lipa,Want To,0.572,0.691,-4.783,0.123,0.0788,0.000132,0.0619,0.318,92.082
Beyonce,At Last,0.26,0.26,-10.669,0.0329,0.666,0.00447,0.175,0.318,172.655
Dua Lipa,Break My Heart,0.73,0.729,-3.434,0.0884,0.167,1.39e-06,0.349,0.467,113.011
Maroon 5,New Love,0.63,0.886,-5.216,0.076,0.0107,0.00011,0.214,0.824,165.012
Mark Eliyahu,Daydream,0.438,0.435,-9.446,0.0347,0.885,0.808,0.0854,0.369,159.853
Maroon 5,Lips On You,0.652,0.555,-6.608,0.032,0.137,2.18e-05,0.09,0.107,103.043
Mark Eliyahu,With You,0.623,0.721,-8.543,0.0463,0.86,0.934,0.114,0.519,151.951
Maroon 5,In Your Pocket,0.618,0.837,-6.142,0.0515,0.032,0.0,0.0475,0.434,126.082
Jacob's Piano,Spheres,0.378,0.0197,-24.51,0.0442,0.986,0.908,0.0799,0.217,66.738
Post Malone,Die For Me,0.614,0.66,-2.848,0.0441,0.19,0.0,0.211,0.452,145.01
Evgeny Grinko,Blizzard,0.198,0.148,-22.677,0.0421,0.991,0.922,0.101,0.0922,75.776
Ava Max,Rumors,0.537,0.738,-5.557,0.038,0.0538,0.0,0.0622,0.466,96.81
Mark Eliyahu,The Run Away,0.596,0.43,-15.723,0.0383,0.429,0.892,0.116,0.106,91.992
Mark Eliyahu,Nostalgy,0.412,0.298,-10.584,0.0495,0.822,0.0105,0.0777,0.0949,124.391
Maroon 5,Lovesick,0.675,0.699,-5.894,0.0296,0.00248,0.000604,0.114,0.43,123.042
Beyonce,No Angel,0.57,0.467,-9.152,0.171,0.0421,0.00253,0.125,0.509,111.58
Post Malone,Internet,0.469,0.489,-6.071,0.0314,0.841,0.0,0.103,0.201,74.013
Maroon 5,Button,0.717,0.657,-6.355,0.0714,0.129,0.0,0.397,0.589,100.924
Mark Eliyahu,Piris Shur,0.597,0.145,-13.294,0.0978,0.983,0.827,0.0918,0.174,79.829
Ava Max,Take You To Hell,0.501,0.682,-4.664,0.0684,0.135,0.0,0.145,0.503,173.926
Billy Esteban,Dilala,0.765,0.632,-6.303,0.0342,0.621,0.789,0.14,0.606,119.998
Post Malone,I Cannot Be,0.517,0.668,-6.012,0.116,0.0712,0.0,0.407,0.646,79.782
Alan Walker,Adventure Time,0.608,0.515,-10.529,0.0331,0.0715,0.634,0.181,0.557,130.957
Billy Esteban,Into the Blue,0.465,0.709,-7.442,0.03,0.00491,0.791,0.283,0.159,90.006
Evgeny Grinko,Eastern Serenade,0.289,0.417,-10.766,0.031,0.509,0.915,0.294,0.253,108.263
Billy Esteban,Time To Change,0.745,0.662,-6.144,0.0278,0.24,0.382,0.37,0.41,139.976
Rihanna,Good Girl Gone Bad,0.708,0.553,-6.319,0.0262,0.0335,0.0,0.101,0.589,94.977
Beyonce,Work It Out,0.674,0.838,-4.066,0.2,0.417,0.0,0.189,0.96,173.946
Alan Walker,Not You,0.573,0.264,-8.955,0.0365,0.827,1.71e-05,0.103,0.379,129.791
Rihanna,James Joint,0.399,0.203,-11.649,0.0298,0.66,0.000163,0.27,0.405,134.202
Rihanna,G4L,0.36,0.721,-4.542,0.0448,0.071,0.0,0.382,0.216,137.783
Jacob's Piano,Light,0.279,0.05,-22.817,0.0464,0.98,0.941,0.109,0.083,116.391
Katy Perry,Double Rainbow,0.618,0.645,-7.937,0.0617,0.27,0.0,0.0645,0.412,96.016
Beyonce,Best Thing I Never Had,0.546,0.649,-4.056,0.0324,0.143,1.55e-05,0.0894,0.298,99.05
