singer,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Evgeny Grinko,Field,0.191,0.0859,-21.876,0.0389,0.988,0.902,0.115,0.292,161.21
Rihanna,S&M,0.769,0.684,-5.019,0.0411,0.0105,0.000125,0.0887,0.835,127.972
Rihanna,Complicated,0.71,0.898,-3.789,0.0386,0.171,1.87e-06,0.109,0.348,137.944
Billy Esteban,Eagea Sunset,0.782,0.718,-7.458,0.0278,0.266,0.756,0.148,0.511,107.072
Sam Smith,Leave Your Lover,0.415,0.264,-8.741,0.0475,0.948,6.31e-06,0.106,0.357,92.879
Charlie Puth,LA Girls,0.869,0.642,-5.03,0.0367,0.359,1.42e-06,0.0694,0.917,99.992
Beyonce,All Night,0.574,0.573,-7.079,0.085,0.392,2.16e-05,0.0933,0.626,136.304
Mark Eliyahu,Humbleness,0.491,0.407,-5.88,0.0332,0.793,0.0129,0.113,0.462,119.795
Sam Smith,Gloria,0.185,0.331,-13.186,0.0338,0.857,0.00022,0.132,0.266,88.499
Rihanna,California King Bed,0.452,0.571,-3.992,0.0359,0.25,0.0,0.114,0.327,169.899
Billie Eilish,Male Fantasy,0.687,0.288,-10.415,0.045,0.863,0.0,0.0986,0.308,110.927
Halsey,Young God,0.449,0.599,-6.509,0.0405,0.324,4.09e-06,0.114,0.198,119.868
Beyonce,End of Time,0.716,0.811,-7.503,0.212,0.0328,0.000517,0.0649,0.786,118.005
Houssem Amari,Khamsa,0.594,0.675,-7.33,0.109,0.0383,0.313,0.151,0.165,100.035
Billy Esteban,Eternity,0.591,0.745,-7.781,0.0325,0.357,0.913,0.0991,0.264,80.039
Post Malone,Congratulations,0.63,0.804,-4.183,0.0363,0.215,0.0,0.253,0.492,123.146
Hiss,Bela,0.701,0.58,-8.771,0.0376,0.214,8.18e-05,0.157,0.42,100.031
Billie Eilish,goodbye,0.153,0.138,-21.877,0.0503,0.837,0.55,0.254,0.0503,74.318
Hiss,Get,0.0677,0.736,-6.241,0.047,1.32e-05,0.658,0.564,0.504,205.823
Rihanna,Fool In Love,0.44,0.685,-5.582,0.0473,0.045,4.07e-06,0.31,0.0433,111.835
Ava Max,Sleepwalker,0.712,0.869,-3.039,0.0383,0.00373,0.0,0.0812,0.859,125.926
Charlie Puth,The Way I Am,0.755,0.77,-5.658,0.187,0.312,2.34e-06,0.0628,0.642,114.965
Gazapizm,Korkma,0.691,0.952,-2.856,0.307,0.389,0.0,0.11,0.605,168.297
Billy Esteban,Mihrimah,0.765,0.54,-9.262,0.0348,0.475,0.945,0.0885,0.746,113.384
Sam Smith,Pray,0.535,0.382,-9.465,0.0426,0.282,1.14e-05,0.0865,0.147,87.801
Billie Eilish,bitches broken hearts,0.778,0.422,-10.114,0.0482,0.921,0.00924,0.0958,0.187,120.033
Charlie Puth,Change,0.503,0.412,-7.379,0.0389,0.87,0.0,0.213,0.453,175.519
Billie Eilish,Six Feet Under,0.698,0.838,-6.267,0.043,0.118,0.0833,0.102,0.415,150.064
Post Malone,Leave,0.535,0.55,-7.249,0.0229,0.246,0.000105,0.124,0.619,90.086
Billie Eilish,watch,0.441,0.599,-8.985,0.225,0.333,0.00198,0.103,0.35,165.212
Billie Eilish,everything i wanted,0.704,0.225,-14.454,0.0994,0.902,0.657,0.106,0.243,120.006
Charlie Puth,Light Switch,0.689,0.627,-5.692,0.308,0.105,0.000321,0.0905,0.905,184.008
